order_id,order_time,delivery_time,delivery_duration_min,city,state,latitude,longitude,restaurant,is_canceled,cancel_reason,customer_rating
e5b99ed3-4bd6-4aed-9583-989823be022d,2025-04-10 13:21:00,2025-04-10 13:58:00,37.0,New York,NY,40.7128,-74.006,Pasta Place,False,,4.9
fd83af05-01fa-4b33-9254-b2708993a58a,2025-01-26 08:45:00,2025-01-26 09:06:00,21.0,Dallas,TX,32.7767,-96.797,Taco Town,False,,4.8
f4ab757f-669e-4b5a-9279-4b88a456fca8,2025-01-20 21:27:00,2025-01-20 22:22:00,55.0,San Jose,CA,37.3382,-121.8863,Burger Haven,False,,4.1
8e4247d0-c211-445b-81c0-3d13e9101398,2024-12-12 16:17:00,2024-12-12 16:55:00,38.0,San Diego,CA,32.7157,-117.1611,Seafood Delight,False,,4.7
65c2f48f-4a3c-4159-8eaf-22ae6a1fbff2,2025-03-01 14:24:00,2025-03-01 14:47:00,23.0,Philadelphia,PA,39.9526,-75.1652,The Gourmet Kitchen,False,,4.6
eeb31c56-fbfa-49ce-b0b3-db1924fdb709,2024-11-01 14:30:00,2024-11-01 15:03:00,33.0,San Diego,CA,32.7157,-117.1611,Bistro Belle,False,,4.6
2333efc9-a8a3-4b96-9e64-9a6ebcf96709,2025-03-30 11:07:00,2025-03-30 11:44:00,37.0,Houston,TX,29.7604,-95.3698,The Gourmet Kitchen,False,,4.8
0d3a33d8-ad22-4cd1-abd8-822574780661,2024-12-18 10:39:00,2024-12-18 11:41:00,62.0,New York,NY,40.7128,-74.006,Bistro Belle,False,,3.1
8b0dc0d8-e9b1-4eea-8f0c-b9da6609044d,2025-02-11 12:41:00,2025-02-11 13:57:00,76.0,Dallas,TX,32.7767,-96.797,Vegan Vibes,False,,2.8
5fc897a0-571d-4c47-aa39-de76d41cf06e,2025-04-11 12:34:00,2025-04-11 13:08:00,34.0,Chicago,IL,41.8781,-87.6298,Taco Town,False,,4.6
7135cd65-5c1c-41ed-a100-fca9c2f53006,2024-11-05 20:15:00,2024-11-05 21:00:00,45.0,Houston,TX,29.7604,-95.3698,Burger Haven,False,,4.0
1dc8e974-ce17-48b2-a8c1-ff59e8a17a92,2025-02-20 15:42:00,,,Los Angeles,CA,34.0522,-118.2437,Bistro Belle,True,Other,
357462d5-605d-4173-937f-551721de8f20,2024-11-12 08:12:00,2024-11-12 09:06:00,54.0,San Diego,CA,32.7157,-117.1611,Pizza Palace,False,,4.1
f3f5ff00-6291-4d1a-af5b-f3d71ebc9473,2025-04-14 15:00:00,2025-04-14 15:52:00,52.0,New York,NY,40.7128,-74.006,Taco Town,False,,3.7
eb8c175e-77c4-4a39-abe9-14fb5a5a5b2b,2025-02-08 20:22:00,2025-02-08 21:20:00,58.0,New York,NY,40.7128,-74.006,Pizza Palace,False,,4.0
88ed5aea-4515-4806-97f1-28c20846f001,2025-01-29 20:08:00,2025-01-29 20:38:00,30.0,San Diego,CA,32.7157,-117.1611,Vegan Vibes,False,,4.6
22dbcf10-39ae-4e26-a161-a52e92acc1b6,2025-04-01 08:15:00,2025-04-01 08:39:00,24.0,Dallas,TX,32.7767,-96.797,Bistro Belle,False,,4.7
13154d13-f33f-425b-92cb-80820642a531,2025-04-12 14:18:00,2025-04-12 15:12:00,54.0,San Jose,CA,37.3382,-121.8863,Vegan Vibes,False,,4.3
60cde1de-da38-45f3-a643-e54e3688a086,2025-01-31 19:48:00,2025-01-31 21:13:00,85.0,New York,NY,40.7128,-74.006,Pizza Palace,False,,1.6
edb4a8f6-1f32-43bd-b31c-60fa6731a0b7,2024-12-21 18:16:00,2024-12-21 19:40:00,84.0,New York,NY,40.7128,-74.006,Burger Haven,False,,1.0
7b2bdaf1-c344-4227-91b5-bbbc3fbf7e32,2025-03-04 08:25:00,,,Los Angeles,CA,34.0522,-118.2437,Steakhouse King,True,Payment Issue,
